WALLET_SIZE,ENS,ARB_DELEGATED,USER_DELEGATED
500-1000 ARB Delegation(LARGE),EnlightenedLime,269726.488852615,323
0-100 ARB Delegation(SMALL),EnlightenedLime,14498.324868329,574
+1000 ARB Delegation(TOP WALLETS),Camelot,112921737.643584,4270
0-100 ARB Delegation(SMALL),Zonic: NFT Marketplace,39259.286575996,865
0-100 ARB Delegation(SMALL),litocoen,95177.229271809,1869
500-1000 ARB Delegation(LARGE),Anonymous(0x1be2),6956.948327077,8
0-100 ARB Delegation(SMALL),MaxLomu,37395.007475478,1232
0-100 ARB Delegation(SMALL),P2P.org,12090.956037924,438
+1000 ARB Delegation(TOP WALLETS),RossDeFi.eth,7126875.47239622,868
500-1000 ARB Delegation(LARGE),PrimapesDAO,628676.605773193,626
+1000 ARB Delegation(TOP WALLETS),The Lost Donkeys & Build,5433372.78318975,1662
0-100 ARB Delegation(SMALL),Frisson,29158.653433958,1000
+1000 ARB Delegation(TOP WALLETS),Utopia Labs,3767312.9093867,1171
100-500 ARB Delegation(MEDIUM),powerkee.eth,4050.153529439,26
+1000 ARB Delegation(TOP WALLETS),yoav.eth,8326901.36588414,768
0-100 ARB Delegation(SMALL),DefragDAO,23221.462939144,1058
0-100 ARB Delegation(SMALL),Tally - Ultra,33707.068067143,479
500-1000 ARB Delegation(LARGE),Blockworks Research,1000169.69946036,990
100-500 ARB Delegation(MEDIUM),Anonymous(0x2A2),14857.730752369,48
+1000 ARB Delegation(TOP WALLETS),Alpha Insiders,8051943.58588434,2145
+1000 ARB Delegation(TOP WALLETS),StableLab,3921739.25615131,1129
100-500 ARB Delegation(MEDIUM),Brian Fakhoury,124781.063068141,250
+1000 ARB Delegation(TOP WALLETS),Brian Fakhoury,12448298.3149572,1098
0-100 ARB Delegation(SMALL),olimpio.eth,1376072.56379237,38228
0-100 ARB Delegation(SMALL),TreasureDAO,1169763.65472322,34345
500-1000 ARB Delegation(LARGE),Penn Blockchain,348600.139235491,385
500-1000 ARB Delegation(LARGE),404 DAO,418886.774567436,443
0-100 ARB Delegation(SMALL),ChainLinkGod,223073.604793337,6334
100-500 ARB Delegation(MEDIUM),litocoen,3399908.62708123,417
100-500 ARB Delegation(MEDIUM),Ceazor Snack Sandwich,173142.220242268,306
100-500 ARB Delegation(MEDIUM),MultiDAO,118847.439343191,171
500-1000 ARB Delegation(LARGE),GFX Labs,441716.854062859,503
500-1000 ARB Delegation(LARGE),L2Beat,1363835.49329559,1481
+1000 ARB Delegation(TOP WALLETS),404 DAO,5710895.96679654,998
500-1000 ARB Delegation(LARGE),olimpio.eth,8581220.10447983,7874
500-1000 ARB Delegation(LARGE),Camelot,3083253.98103373,2478
0-100 ARB Delegation(SMALL),PrimapesDAO,57054.930405044,1372
+1000 ARB Delegation(TOP WALLETS),L2Beat,47102018.5187138,4009
100-500 ARB Delegation(MEDIUM),Alpha Insiders,352652.970971391,615
+1000 ARB Delegation(TOP WALLETS),Drake on Digital,5083603.48943162,731
500-1000 ARB Delegation(LARGE),P2P.org,228182.47022644,261
500-1000 ARB Delegation(LARGE),McFly,213682.6616489,249
+1000 ARB Delegation(TOP WALLETS),EnlightenedLime,3192076.65791278,727
+1000 ARB Delegation(TOP WALLETS),Layer2DAO,32459346.3206898,2122
100-500 ARB Delegation(MEDIUM),Layer2DAO,274202.812651377,493
0-100 ARB Delegation(SMALL),galxe.eth,206340.808911091,7846
+1000 ARB Delegation(TOP WALLETS),Arrakis Labs,5164515.81678967,844
0-100 ARB Delegation(SMALL),Ceazor Snack Sandwich,74343.103911775,1366
100-500 ARB Delegation(MEDIUM),Gauntlet,143179.674281917,268
500-1000 ARB Delegation(LARGE),Snapshot Labs,610580.192427657,669
100-500 ARB Delegation(MEDIUM),Anonymous(0x1be2),10441.75639597,28
+1000 ARB Delegation(TOP WALLETS),Anonymous(0x3d3),670196.761785576,1
+1000 ARB Delegation(TOP WALLETS),MaxLomu,11199865.7907631,851
500-1000 ARB Delegation(LARGE),Drake on Digital,332057.735314199,354
0-100 ARB Delegation(SMALL),丰密kuiqian.eth,238802.638178389,9204
+1000 ARB Delegation(TOP WALLETS),Snapshot Labs,6219989.4717262,1550
+1000 ARB Delegation(TOP WALLETS),Zonic: NFT Marketplace,2250999.45056597,389
+1000 ARB Delegation(TOP WALLETS),TreasureDAO,126598237.892882,16954
500-1000 ARB Delegation(LARGE),Brian Fakhoury,492808.14204375,536
+1000 ARB Delegation(TOP WALLETS),Anonymous(0x2A2),2290409.68774805,25
0-100 ARB Delegation(SMALL),Blockworks Research,139092.43858126,3558
100-500 ARB Delegation(MEDIUM),Utopia Labs,95004.696339653,208
0-100 ARB Delegation(SMALL),PlutusDAO,420840.817922259,10445
500-1000 ARB Delegation(LARGE),丰密kuiqian.eth,1107855.778392,1179
0-100 ARB Delegation(SMALL),Brian Fakhoury,36359.055562754,1046
0-100 ARB Delegation(SMALL),L2Beat,249223.87022042,6971
+1000 ARB Delegation(TOP WALLETS),galxe.eth,19045398.1582143,1531
500-1000 ARB Delegation(LARGE),MaxLomu,402736.918962497,427
+1000 ARB Delegation(TOP WALLETS),Penn Blockchain,4225416.30808576,844
+1000 ARB Delegation(TOP WALLETS),Seamus,6997304.42536001,1073
100-500 ARB Delegation(MEDIUM),ChainLinkGod,5852432.51306595,1359
500-1000 ARB Delegation(LARGE),Bruce1,265086.197077719,264
+1000 ARB Delegation(TOP WALLETS),Anonymous(0x1be2),3292630.04325437,13
100-500 ARB Delegation(MEDIUM),Frisson,94115.825117209,222
100-500 ARB Delegation(MEDIUM),galxe.eth,348288.742177937,940
0-100 ARB Delegation(SMALL),Anonymous(0x1be2),4037.924451289,119
+1000 ARB Delegation(TOP WALLETS),Blockworks Research,20788677.0423298,2292
500-1000 ARB Delegation(LARGE),Zonic: NFT Marketplace,380251.240980704,298
0-100 ARB Delegation(SMALL),mihal.eth,58668.778667808,1796
100-500 ARB Delegation(MEDIUM),yoav.eth,126817.630653894,124
0-100 ARB Delegation(SMALL),Anonymous(0x1ecf),10,1
500-1000 ARB Delegation(LARGE),ChainLinkGod,8402573.1019251,1506
100-500 ARB Delegation(MEDIUM),Tally - Ultra,83612.811780644,154
500-1000 ARB Delegation(LARGE),Anonymous(0x2A2),30513.077068727,31
0-100 ARB Delegation(SMALL),Princeton Blockhain Club,66522.381108772,1632
100-500 ARB Delegation(MEDIUM),Blockworks Research,442654.663500847,823
500-1000 ARB Delegation(LARGE),PlutusDAO,2708146.05141897,2600
100-500 ARB Delegation(MEDIUM),Camelot,1748982.84494581,2464
100-500 ARB Delegation(MEDIUM),P2P.org,43460.992829468,72
0-100 ARB Delegation(SMALL),yoav.eth,30953.787804945,519
+1000 ARB Delegation(TOP WALLETS),GFX Labs,4816370.93693301,1109
