DELEGATE,GOVERNOR,FOR,AGAINST,ABSTAIN,VOTES,DELEGATE_POWER,PERCENT_QUORUM
0x13bdae8c5f0fc40231f0e6a4ad70196f59138548,Arbitrum Treasury,12,1,"null",13,1254995.02755299,1.635598889
0x13bdae8c5f0fc40231f0e6a4ad70196f59138548,Arbitrum Core,8,1,"null",9,1254995.02755299,0.9813849136
0x5318f07a3a20a2f8bb0ddf14f1dd58c517a76508,Arbitrum Treasury,3,"null","null",3,1157129.93935555,1.508054137
0x6a26afb01ff57e827079658238858d55774ca2d5,Arbitrum Core,4,1,"null",5,1156200.20836731,0.9041290338
0x6a26afb01ff57e827079658238858d55774ca2d5,Arbitrum Treasury,3,1,1,5,1156200.20836731,1.506842445
0x3d1846ea60001a3bc21438d76f3958422fe89adb,Arbitrum Core,4,"null","null",4,1130566.98231965,0.884084284
0x3d1846ea60001a3bc21438d76f3958422fe89adb,Arbitrum Treasury,6,2,1,9,1130566.98231965,1.4734354
0x7f1156aa350982560653fed03ef0e285ef878b75,Arbitrum Core,"null",1,"null",1,1124714.74619606,0.8795079342
0x7f1156aa350982560653fed03ef0e285ef878b75,Arbitrum Treasury,"null",1,"null",1,1124714.74619606,1.465808349
0x22aa1f4173b826451763ebfce22cf54a0603163c,Arbitrum Core,3,1,"null",4,1065866.70433296,0.8334897594
0x22aa1f4173b826451763ebfce22cf54a0603163c,Arbitrum Treasury,8,1,1,10,1065866.70433296,1.38911339
0x7b0befc5b043148cd7bd5cfeeef7bc63d28edec0,Arbitrum Treasury,8,"null","null",8,1038811.93655544,1.35385369
0x7b0befc5b043148cd7bd5cfeeef7bc63d28edec0,Arbitrum Core,2,"null","null",2,1038811.93655544,0.812333388
0xfc7a6e0b80b2cfcabba789ef1565af9bc5d00aa0,Arbitrum Treasury,1,"null","null",1,1030426.19044361,1.342924789
0xf8e93a7d954f7d31d5fa54bc0eb0e384412a158d,Arbitrum Treasury,1,"null","null",1,1000725.64961,1.304216929
0xae79f0562c2128cc12d0ac068ac288856fe0e1ab,Arbitrum Treasury,1,1,"null",2,950000,1.23810765
0xf0ea58b65c82c48ce69f0abd68d178e7764c4ba2,Arbitrum Core,9,1,1,11,938045.364790561,0.7335356309
0xf0ea58b65c82c48ce69f0abd68d178e7764c4ba2,Arbitrum Treasury,12,"null",1,13,938045.364790561,1.222527518
0x560b03b06ef02b24f994e470d949008cda5e1841,Arbitrum Core,1,"null","null",1,926215.129783071,0.7242845869
0x560b03b06ef02b24f994e470d949008cda5e1841,Arbitrum Treasury,7,"null","null",7,926215.129783071,1.207109514
0xa71a021ef66b03e45e0d85590432dfcfa1b7174c,Arbitrum Treasury,1,"null",1,2,919365.983002345,1.198183218
0xcafc58de1e6a071790efbb6b83b35397023e1544,Arbitrum Treasury,2,"null","null",2,832681.81207383,1.085210233
0x400e3ab48b2ccd2420ec04ba0ee9c94bb54a0b1c,Arbitrum Treasury,10,1,2,13,818988.688024734,1.067364379
0x400e3ab48b2ccd2420ec04ba0ee9c94bb54a0b1c,Arbitrum Core,10,1,1,12,818988.688024734,0.6404353206
0xa7860e99e3ce0752d1ac53b974e309fff80277c6,Arbitrum Core,7,"null","null",7,778057.434584805,0.6084277718
0xa7860e99e3ce0752d1ac53b974e309fff80277c6,Arbitrum Treasury,9,"null",1,10,778057.434584805,1.014019855
0x5a35923ed6950eff4412ef6d27cea8b1d405a844,Arbitrum Treasury,2,"null","null",2,772621,1.006934706
0x5a35923ed6950eff4412ef6d27cea8b1d405a844,Arbitrum Core,2,"null","null",2,772621,0.6041765718
0x0a9eeddaa65546ad35d3f0ac9e6f09575e4c9297,Arbitrum Core,2,"null","null",2,766898.05115237,0.5997013225
