TIMESPAN,VOTE_OPTION,VOTERS,CUMUL_VOTERS,VOTES,CUMUL_VOTES,VOTING_POWER,CUMUL_VOTING_POWER
2023-08-28 00:00:00.000,For,1854,226677,2558,320646,"null","null"
2023-08-28 00:00:00.000,Abstain,33,13771,36,14843,"null","null"
2023-08-29 00:00:00.000,For,1668,228345,2522,323168,"null","null"
2023-08-29 00:00:00.000,Abstain,22,13793,24,14867,"null","null"
2023-08-29 00:00:00.000,Against,128,25188,142,29362,"null","null"
2023-08-30 00:00:00.000,For,1125,229470,1701,324869,"null","null"
2023-08-30 00:00:00.000,Abstain,12,13805,13,14880,"null","null"
2023-08-30 00:00:00.000,Against,61,25249,63,29425,"null","null"
2023-08-31 00:00:00.000,For,685,230155,1008,325877,"null","null"
2023-08-31 00:00:00.000,Abstain,9,13814,9,14889,"null","null"
2023-08-31 00:00:00.000,Against,65,25314,66,29491,"null","null"
2023-09-01 00:00:00.000,For,815,230970,1296,327173,"null","null"
2023-09-01 00:00:00.000,Against,108,25422,111,29602,"null","null"
2023-09-01 00:00:00.000,Abstain,21,13835,21,14910,"null","null"
2023-09-02 00:00:00.000,Abstain,6,13841,7,14917,"null","null"
2023-09-02 00:00:00.000,Against,16,25438,17,29619,"null","null"
2023-09-02 00:00:00.000,For,482,231452,753,327926,"null","null"
2023-09-03 00:00:00.000,For,573,232025,927,328853,"null","null"
2023-09-03 00:00:00.000,Abstain,24,13865,25,14942,"null","null"
2023-09-03 00:00:00.000,Against,29,25467,30,29649,"null","null"
2023-09-04 00:00:00.000,Abstain,10,13875,10,14952,"null","null"
2023-09-04 00:00:00.000,For,433,232458,433,329286,"null","null"
2023-09-04 00:00:00.000,Against,175,25642,175,29824,"null","null"
2023-09-05 00:00:00.000,For,789,233247,789,330075,"null","null"
2023-09-05 00:00:00.000,Abstain,39,13914,39,14991,"null","null"
2023-09-05 00:00:00.000,Against,127,25769,127,29951,"null","null"
2023-09-06 00:00:00.000,Abstain,142,14056,142,15133,"null","null"
2023-09-06 00:00:00.000,For,498,233745,498,330573,"null","null"
2023-09-06 00:00:00.000,Against,37,25806,37,29988,"null","null"
2023-09-07 00:00:00.000,Against,8,25814,8,29996,"null","null"
2023-09-07 00:00:00.000,Abstain,7,14063,7,15140,"null","null"
2023-09-07 00:00:00.000,For,325,234070,325,330898,"null","null"
2023-09-18 00:00:00.000,For,143,234213,143,331041,"null","null"
2023-09-18 00:00:00.000,Abstain,33,14096,33,15173,"null","null"
2023-09-18 00:00:00.000,Against,5,25819,5,30001,"null","null"
2023-09-19 00:00:00.000,For,5614,239827,5614,336655,"null","null"
2023-09-19 00:00:00.000,Against,432,26251,432,30433,"null","null"
2023-09-19 00:00:00.000,Abstain,146,14242,146,15319,"null","null"
2023-09-20 00:00:00.000,Abstain,288,14530,288,15607,"null","null"
2023-09-20 00:00:00.000,Against,533,26784,533,30966,"null","null"
2023-09-20 00:00:00.000,For,9227,249054,9227,345882,"null","null"
2023-09-21 00:00:00.000,For,4937,253991,4937,350819,"null","null"
2023-09-21 00:00:00.000,Abstain,197,14727,197,15804,"null","null"
2023-09-21 00:00:00.000,Against,379,27163,379,31345,"null","null"
2023-09-22 00:00:00.000,Against,376,27539,376,31721,"null","null"
2023-09-22 00:00:00.000,For,3568,257559,3568,354387,"null","null"
2023-09-22 00:00:00.000,Abstain,122,14849,122,15926,"null","null"
2023-09-23 00:00:00.000,Abstain,39,14888,39,15965,"null","null"
2023-09-23 00:00:00.000,For,2065,259624,2065,356452,"null","null"
2023-09-23 00:00:00.000,Against,192,27731,192,31913,"null","null"
2023-09-24 00:00:00.000,For,1102,260726,1102,357554,"null","null"
2023-09-24 00:00:00.000,Against,66,27797,66,31979,"null","null"
2023-09-24 00:00:00.000,Abstain,39,14927,39,16004,"null","null"
2023-09-25 00:00:00.000,Against,67,27864,67,32046,"null","null"
2023-09-25 00:00:00.000,Abstain,18,14945,18,16022,"null","null"
2023-09-25 00:00:00.000,For,1843,262569,1851,359405,"null","null"
2023-09-26 00:00:00.000,For,5430,267999,6432,365837,"null","null"
2023-09-26 00:00:00.000,Abstain,215,15160,236,16258,"null","null"
2023-09-26 00:00:00.000,Against,335,28199,357,32403,"null","null"
2023-09-27 00:00:00.000,For,4707,272706,5612,371449,"null","null"
2023-09-27 00:00:00.000,Against,611,28810,626,33029,"null","null"
2023-09-27 00:00:00.000,Abstain,276,15436,301,16559,"null","null"
2023-09-28 00:00:00.000,Abstain,78,15514,79,16638,"null","null"
2023-09-28 00:00:00.000,Against,203,29013,210,33239,"null","null"
2023-09-28 00:00:00.000,For,3367,276073,4386,375835,"null","null"
2023-09-29 00:00:00.000,Against,140,29153,140,33379,"null","null"
2023-09-29 00:00:00.000,For,3380,279453,4724,380559,"null","null"
2023-09-29 00:00:00.000,Abstain,66,15580,70,16708,"null","null"
2023-09-30 00:00:00.000,Abstain,80,15660,90,16798,"null","null"
2023-09-30 00:00:00.000,For,2911,282364,3883,384442,"null","null"
2023-09-30 00:00:00.000,Against,250,29403,270,33649,"null","null"
2023-10-01 00:00:00.000,Against,185,29588,195,33844,"null","null"
2023-10-01 00:00:00.000,For,1602,283966,2173,386615,"null","null"
2023-10-01 00:00:00.000,Abstain,82,15742,90,16888,"null","null"
2023-10-02 00:00:00.000,For,1166,285132,1579,388194,"null","null"
2023-10-02 00:00:00.000,Against,308,29896,309,34153,"null","null"
2023-10-02 00:00:00.000,Abstain,50,15792,62,16950,"null","null"
2023-10-03 00:00:00.000,Abstain,27,15819,27,16977,"null","null"
2023-10-03 00:00:00.000,Against,97,29993,97,34250,"null","null"
2023-10-03 00:00:00.000,For,1257,286389,1257,389451,"null","null"
2023-10-04 00:00:00.000,Against,24,30017,24,34274,"null","null"
2023-10-04 00:00:00.000,Abstain,6,15825,6,16983,"null","null"
2023-10-04 00:00:00.000,For,1035,287424,1035,390486,"null","null"
2023-10-05 00:00:00.000,Abstain,12,15837,12,16995,"null","null"
